zcyc

tradedate;tradetime;period_5.0
28.01.2015;18:39:05;14,84
29.01.2015;18:17:50;14,94
30.01.2015;18:39:28;14,7
02.02.2015;18:39:58;14,29
03.02.2015;18:39:08;13,84
04.02.2015;18:39:54;14,09
05.02.2015;18:37:32;13,37
06.02.2015;18:39:04;13,54
09.02.2015;18:39:02;13,43
10.02.2015;18:38:39;13,7
11.02.2015;18:39:04;13,63
12.02.2015;18:39:32;13,47
13.02.2015;18:39:09;12,95
16.02.2015;18:39:43;12,71
17.02.2015;18:39:45;12,61
18.02.2015;18:39:19;12,29
19.02.2015;18:39:50;12,54
20.02.2015;18:39:38;12,92
24.02.2015;18:38:05;13,72
25.02.2015;18:39:00;13,68
26.02.2015;18:39:33;13,66
27.02.2015;18:39:59;14,33
02.03.2015;18:36:17;14,58
03.03.2015;18:32:29;13,8
04.03.2015;18:39:19;13,86
05.03.2015;18:39:51;13,56
06.03.2015;18:39:34;13,48
10.03.2015;18:39:52;13,55
11.03.2015;18:39:53;13,37
12.03.2015;18:37:13;12,92
13.03.2015;18:38:57;13,23
16.03.2015;18:39:23;13,54
17.03.2015;18:37:39;13,53
18.03.2015;18:39:53;13,39
19.03.2015;18:36:46;13,27
20.03.2015;18:38:49;12,94
23.03.2015;18:00:06;12,79
24.03.2015;18:27:50;12,69
25.03.2015;18:37:14;12,03
26.03.2015;18:27:37;11,89
27.03.2015;18:38:01;11,92
30.03.2015;17:45:31;12,05
31.03.2015;18:38:36;12,36
01.04.2015;18:39:41;11,94
02.04.2015;18:39:06;12,08
03.04.2015;18:36:37;11,9
06.04.2015;18:38:32;11,83
07.04.2015;18:39:15;11,97
08.04.2015;18:34:01;11,87
09.04.2015;18:39:58;11,43
10.04.2015;18:38:52;11,18
13.04.2015;18:39:43;11,2
14.04.2015;18:39:26;11,13
15.04.2015;18:39:21;10,67
16.04.2015;18:38:05;10,81
17.04.2015;18:39:07;11,11
20.04.2015;18:39:11;11,25
21.04.2015;18:38:57;11,45
22.04.2015;18:38:10;11,43
23.04.2015;18:39:41;11,36
24.04.2015;18:38:56;11,4
27.04.2015;18:39:26;11,43
28.04.2015;18:33:15;11,49
29.04.2015;18:39:24;11,18
30.04.2015;18:38:35;10,98
05.05.2015;18:39:40;10,71
06.05.2015;18:38:43;10,58
07.05.2015;18:39:42;10,62
08.05.2015;18:33:09;10,77
12.05.2015;18:28:06;10,81
13.05.2015;18:33:12;10,72
14.05.2015;18:36:26;10,78
15.05.2015;18:38:40;10,68
18.05.2015;18:37:07;10,66
19.05.2015;18:39:14;10,77
20.05.2015;18:34:44;10,7
21.05.2015;18:28:05;10,62
22.05.2015;18:39:32;10,52
