zcyc

tradedate;tradetime;period_20.0
31.03.2015;18:38:36;11,33
01.04.2015;18:39:41;10,78
02.04.2015;18:39:06;10,86
03.04.2015;18:36:37;10,62
06.04.2015;18:38:32;10,58
07.04.2015;18:39:15;10,48
08.04.2015;18:34:01;10,49
09.04.2015;18:39:58;10,34
10.04.2015;18:38:52;10,28
13.04.2015;18:39:43;10,17
14.04.2015;18:39:26;10,04
15.04.2015;18:39:21;9,69
16.04.2015;18:38:05;9,61
17.04.2015;18:39:07;9,94
20.04.2015;18:39:11;10,06
21.04.2015;18:38:57;10,02
22.04.2015;18:38:10;9,95
23.04.2015;18:39:41;9,95
24.04.2015;18:38:56;9,94
27.04.2015;18:39:26;10,04
28.04.2015;18:33:15;9,99
29.04.2015;18:39:24;9,95
30.04.2015;18:38:35;9,88
05.05.2015;18:39:40;9,8
06.05.2015;18:38:43;9,67
07.05.2015;18:39:42;9,76
08.05.2015;18:33:09;9,84
12.05.2015;18:28:06;9,95
13.05.2015;18:33:12;9,86
14.05.2015;18:36:26;9,9
15.05.2015;18:38:40;9,93
18.05.2015;18:37:07;9,82
19.05.2015;18:39:14;9,93
20.05.2015;18:34:44;9,92
21.05.2015;18:28:05;9,74
22.05.2015;18:39:32;9,69
25.05.2015;18:37:54;9,76
26.05.2015;18:39:50;9,81
27.05.2015;18:33:30;9,8
28.05.2015;18:39:03;10,0
29.05.2015;18:37:11;9,86
01.06.2015;18:38:45;9,93
02.06.2015;18:33:19;9,91
03.06.2015;18:39:27;9,94
04.06.2015;18:37:36;10,19
05.06.2015;18:31:03;10,34
08.06.2015;18:38:32;10,25
09.06.2015;18:38:21;10,1
10.06.2015;18:35:41;9,86
11.06.2015;18:36:34;9,93
15.06.2015;18:39:24;9,97
16.06.2015;18:39:13;10,07
17.06.2015;18:34:51;10,14
18.06.2015;18:39:21;10,07
19.06.2015;18:33:26;10,08
22.06.2015;18:34:29;10,06
23.06.2015;18:39:46;9,98
24.06.2015;18:33:32;9,93
25.06.2015;18:37:29;9,98
26.06.2015;18:39:01;10,05
29.06.2015;18:38:07;10,27
30.06.2015;18:38:57;10,17
01.07.2015;18:37:29;10,13
02.07.2015;18:38:20;10,09
03.07.2015;18:39:17;9,96
06.07.2015;18:39:32;10,48
07.07.2015;18:39:18;11,04
08.07.2015;18:39:51;10,18
09.07.2015;18:39:36;10,06
10.07.2015;18:39:07;9,91
13.07.2015;18:39:46;9,81
14.07.2015;18:39:07;9,67
15.07.2015;18:39:24;9,68
16.07.2015;18:33:29;9,3
17.07.2015;18:39:18;9,43
20.07.2015;18:37:17;9,4
21.07.2015;18:38:55;9,38
22.07.2015;18:38:27;9,41
23.07.2015;18:39:47;9,56
24.07.2015;18:39:28;9,65
27.07.2015;18:38:11;10,05
28.07.2015;18:39:28;10,03
29.07.2015;18:39:20;9,61
30.07.2015;18:39:47;9,69
31.07.2015;18:38:53;9,7
03.08.2015;18:39:56;9,94
04.08.2015;18:39:28;9,79
05.08.2015;18:37:56;9,72
06.08.2015;18:39:37;9,93
07.08.2015;18:39:40;10,04
10.08.2015;18:39:13;10,05
11.08.2015;18:38:02;10,17
12.08.2015;18:37:32;10,1
13.08.2015;18:39:46;10,18
14.08.2015;18:38:43;10,13
17.08.2015;18:39:25;10,25
18.08.2015;18:38:44;10,2
19.08.2015;18:39:50;10,29
20.08.2015;18:39:28;10,42
21.08.2015;18:39:26;10,94
24.08.2015;18:34:47;11,09
25.08.2015;18:34:53;10,8
26.08.2015;18:38:10;10,88
27.08.2015;18:39:51;10,92
28.08.2015;18:38:06;11,03
31.08.2015;18:39:54;11,1
01.09.2015;18:39:39;11,1
02.09.2015;18:39:26;11,22
03.09.2015;18:39:04;11,15
04.09.2015;18:39:46;11,24
07.09.2015;18:39:49;11,31
08.09.2015;18:39:22;11,23
09.09.2015;18:39:35;11,23
10.09.2015;18:38:40;11,2
11.09.2015;18:39:52;11,17
14.09.2015;18:37:00;11,18
15.09.2015;18:36:43;11,09
16.09.2015;18:24:15;11,06
17.09.2015;18:30:08;11,05
18.09.2015;18:37:29;11,04
21.09.2015;18:39:52;10,97
22.09.2015;18:38:52;11,03
23.09.2015;18:39:15;10,95
24.09.2015;18:14:56;11,09
25.09.2015;18:24:03;11,02
28.09.2015;18:31:51;11,07
29.09.2015;18:32:09;11,04
30.09.2015;18:37:15;11,0
01.10.2015;18:33:30;10,87
02.10.2015;18:33:33;10,96
05.10.2015;18:38:50;10,78
06.10.2015;18:37:51;10,54
07.10.2015;17:45:46;10,41
08.10.2015;18:38:30;10,41
09.10.2015;18:38:48;10,29
12.10.2015;18:34:13;10,34
13.10.2015;18:17:27;10,43
14.10.2015;18:38:31;10,36
15.10.2015;18:39:51;10,24
16.10.2015;18:20:20;9,99
19.10.2015;18:33:26;10,07
20.10.2015;18:33:18;10,09
21.10.2015;18:39:51;10,05
22.10.2015;18:37:51;10,03
23.10.2015;18:39:06;9,95
26.10.2015;18:33:12;9,98
27.10.2015;18:37:03;10,06
28.10.2015;18:39:33;9,96
29.10.2015;18:39:17;10,02
30.10.2015;18:35:37;10,03
02.11.2015;18:28:56;9,99
03.11.2015;18:24:29;9,73
05.11.2015;18:36:16;9,63
06.11.2015;18:39:00;9,67
09.11.2015;18:39:08;9,66
10.11.2015;18:38:30;9,65
11.11.2015;18:38:29;9,6
12.11.2015;18:04:21;9,76
13.11.2015;18:33:13;9,86
16.11.2015;18:39:09;9,84
17.11.2015;18:39:58;9,79
18.11.2015;18:38:49;9,7
19.11.2015;18:39:31;9,52
20.11.2015;18:38:16;9,5
23.11.2015;18:35:10;9,64
24.11.2015;18:29:20;9,83
25.11.2015;18:17:15;9,84
26.11.2015;18:39:30;9,73
27.11.2015;18:39:14;9,79
30.11.2015;18:39:16;9,73
01.12.2015;18:39:58;9,72
02.12.2015;18:39:09;9,71
03.12.2015;18:39:03;9,75
04.12.2015;18:33:06;9,7
07.12.2015;18:39:55;9,84
08.12.2015;18:33:23;9,87
09.12.2015;18:39:10;9,83
10.12.2015;18:35:22;9,82
11.12.2015;18:39:01;9,87
14.12.2015;18:31:13;9,96
15.12.2015;18:39:58;9,61
16.12.2015;18:38:57;9,46
17.12.2015;18:39:03;9,48
18.12.2015;18:38:11;9,46
21.12.2015;18:37:48;9,48
22.12.2015;18:39:18;9,58
23.12.2015;18:39:21;9,52
24.12.2015;18:35:54;9,47
25.12.2015;18:38:56;9,51
28.12.2015;18:39:54;9,44
29.12.2015;18:39:50;9,43
30.12.2015;18:39:50;9,43
04.01.2016;18:38:18;9,35
05.01.2016;18:39:52;9,4
06.01.2016;18:30:27;9,46
11.01.2016;18:39:51;9,93
12.01.2016;18:39:51;10,11
13.01.2016;18:39:33;10,12
14.01.2016;18:39:49;10,28
15.01.2016;18:39:54;10,48
18.01.2016;18:39:53;10,56
19.01.2016;18:39:56;10,46
20.01.2016;18:39:57;10,83
21.01.2016;18:39:23;10,85
22.01.2016;18:39:51;10,48
25.01.2016;18:39:46;10,5
26.01.2016;18:39:51;10,4
27.01.2016;18:39:44;10,21
28.01.2016;18:39:35;10,06
29.01.2016;18:39:32;10,14
01.02.2016;18:38:47;10,24
02.02.2016;18:39:33;10,31
03.02.2016;18:39:26;10,26
04.02.2016;18:36:19;10,09
05.02.2016;18:36:45;10,08
08.02.2016;18:39:02;10,17
09.02.2016;18:39:41;10,27
10.02.2016;18:39:50;10,12
11.02.2016;18:39:01;10,19
12.02.2016;18:39:18;10,17
15.02.2016;18:38:47;10,04
16.02.2016;18:39:49;10,09
17.02.2016;18:39:34;10,03
18.02.2016;18:39:32;9,86
19.02.2016;18:39:52;9,9
20.02.2016;18:20:42;9,89
22.02.2016;18:38:38;9,8
24.02.2016;18:39:51;9,79
25.02.2016;18:39:24;9,59
26.02.2016;18:37:30;9,49
29.02.2016;18:39:59;9,49
01.03.2016;18:37:01;9,26
02.03.2016;18:37:23;9,26
03.03.2016;18:39:52;9,22
04.03.2016;18:37:23;9,13
07.03.2016;18:39:41;9,12
09.03.2016;18:39:00;9,13
10.03.2016;18:39:34;9,17
11.03.2016;18:39:07;9,22
14.03.2016;18:25:10;9,32
15.03.2016;18:39:36;9,42
16.03.2016;18:34:51;9,38
17.03.2016;18:39:53;9,11
18.03.2016;18:39:51;8,93
21.03.2016;18:39:56;8,99
22.03.2016;18:39:24;8,96
23.03.2016;18:39:40;9,15
24.03.2016;18:35:53;9,22
25.03.2016;18:38:44;9,13
28.03.2016;18:33:26;9,12
29.03.2016;18:37:20;9,18
30.03.2016;18:38:17;9,04
31.03.2016;18:39:52;9,0
01.04.2016;18:39:17;9,03
04.04.2016;18:39:55;9,04
05.04.2016;18:39:40;9,14
06.04.2016;18:39:55;9,12
07.04.2016;18:39:57;9,25
08.04.2016;18:39:49;9,15
