zcyc

tradedate;tradetime;period_0.75
16.01.2015;18:32:07;14,48
19.01.2015;18:37:11;14,48
20.01.2015;18:38:14;15,08
21.01.2015;18:39:44;15,03
22.01.2015;18:39:15;14,77
23.01.2015;18:38:29;14,69
26.01.2015;18:38:31;15,36
27.01.2015;18:39:56;15,32
28.01.2015;18:39:05;15,3
29.01.2015;18:17:50;15,16
30.01.2015;18:39:28;14,37
02.02.2015;18:39:58;13,9
03.02.2015;18:39:08;13,59
04.02.2015;18:39:54;13,54
05.02.2015;18:37:32;13,32
06.02.2015;18:39:04;12,93
09.02.2015;18:39:02;12,76
10.02.2015;18:38:39;12,76
11.02.2015;18:39:04;12,77
12.02.2015;18:39:32;12,69
13.02.2015;18:39:09;12,62
16.02.2015;18:39:43;12,29
17.02.2015;18:39:45;12,19
18.02.2015;18:39:19;11,96
19.02.2015;18:39:50;12,38
20.02.2015;18:39:38;12,49
24.02.2015;18:38:05;13,37
25.02.2015;18:39:00;13,6
26.02.2015;18:39:33;13,6
27.02.2015;18:39:59;13,57
02.03.2015;18:36:17;13,8
03.03.2015;18:32:29;13,07
04.03.2015;18:39:19;13,12
05.03.2015;18:39:51;12,96
06.03.2015;18:39:34;12,61
10.03.2015;18:39:52;13,02
11.03.2015;18:39:53;12,99
12.03.2015;18:37:13;12,74
13.03.2015;18:38:57;12,84
16.03.2015;18:39:23;12,84
17.03.2015;18:37:39;13,08
18.03.2015;18:39:53;13,03
19.03.2015;18:36:46;12,8
20.03.2015;18:38:49;12,65
23.03.2015;18:00:06;12,65
24.03.2015;18:27:50;12,61
25.03.2015;18:37:14;11,95
26.03.2015;18:27:37;11,78
27.03.2015;18:38:01;11,8
30.03.2015;17:45:31;12,26
31.03.2015;18:38:36;12,26
01.04.2015;18:39:41;12,17
02.04.2015;18:39:06;12,13
03.04.2015;18:36:37;12,1
06.04.2015;18:38:32;12,13
07.04.2015;18:39:15;12,17
08.04.2015;18:34:01;12,11
09.04.2015;18:39:58;11,81
10.04.2015;18:38:52;11,49
13.04.2015;18:39:43;11,63
14.04.2015;18:39:26;11,58
15.04.2015;18:39:21;11,42
16.04.2015;18:38:05;11,4
17.04.2015;18:39:07;11,79
20.04.2015;18:39:11;11,92
21.04.2015;18:38:57;11,73
22.04.2015;18:38:10;11,62
23.04.2015;18:39:41;11,44
24.04.2015;18:38:56;11,44
27.04.2015;18:39:26;11,57
28.04.2015;18:33:15;11,22
29.04.2015;18:39:24;11,14
30.04.2015;18:38:35;10,51
05.05.2015;18:39:40;10,41
06.05.2015;18:38:43;10,39
07.05.2015;18:39:42;10,29
08.05.2015;18:33:09;10,11
12.05.2015;18:28:06;10,27
13.05.2015;18:33:12;10,15
14.05.2015;18:36:26;10,37
15.05.2015;18:38:40;10,44
18.05.2015;18:37:07;10,23
19.05.2015;18:39:14;10,43
20.05.2015;18:34:44;10,62
21.05.2015;18:28:05;10,41
22.05.2015;18:39:32;10,37
25.05.2015;18:37:54;10,34
26.05.2015;18:39:50;10,51
27.05.2015;18:33:30;10,5
28.05.2015;18:39:03;10,55
29.05.2015;18:37:11;10,43
01.06.2015;18:38:45;10,56
02.06.2015;18:33:19;10,55
03.06.2015;18:39:27;10,59
04.06.2015;18:37:36;10,71
05.06.2015;18:31:03;10,57
08.06.2015;18:38:32;10,62
09.06.2015;18:38:21;10,45
10.06.2015;18:35:41;10,33
11.06.2015;18:36:34;10,3
15.06.2015;18:39:24;10,44
16.06.2015;18:39:13;10,65
17.06.2015;18:34:51;10,61
18.06.2015;18:39:21;10,31
19.06.2015;18:33:26;10,42
22.06.2015;18:34:29;10,41
23.06.2015;18:39:46;10,39
24.06.2015;18:33:32;10,4
25.06.2015;18:37:29;10,33
26.06.2015;18:39:01;10,44
29.06.2015;18:38:07;10,51
30.06.2015;18:38:57;10,32
01.07.2015;18:37:29;10,4
02.07.2015;18:38:20;10,33
03.07.2015;18:39:17;10,26
06.07.2015;18:39:32;10,39
07.07.2015;18:39:18;10,38
08.07.2015;18:39:51;10,34
09.07.2015;18:39:36;10,18
10.07.2015;18:39:07;10,1
13.07.2015;18:39:46;10,03
14.07.2015;18:39:07;9,97
15.07.2015;18:39:24;9,93
16.07.2015;18:33:29;9,71
17.07.2015;18:39:18;9,86
20.07.2015;18:37:17;9,84
21.07.2015;18:38:55;9,7
22.07.2015;18:38:27;9,72
23.07.2015;18:39:47;9,8
24.07.2015;18:39:28;9,86
27.07.2015;18:38:11;9,99
28.07.2015;18:39:28;10,03
29.07.2015;18:39:20;9,67
